name,address,rating,review_count,website,maps_url,status,lead_score
"Dr. Smitha M. Reddy, DDS","3783 N High St, Columbus, OH 43214, USA",4,4,http://www.whetstonedental.com/,https://maps.google.com/?cid=16171305430885204116&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,68.0
Amy L Smith,"220 Jackson St b, Elmore, OH 43416, USA",4.9,42,,https://maps.google.com/?cid=181601446016559205&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,31.0
My Family Dental,"7946 E Broad St, Reynoldsburg, OH 43068, USA",4.4,255,https://www.myfamilydentalohio.com/,https://maps.google.com/?cid=13486292207219459105&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,12.0
"Greater Columbus Oral Surgery & Dental Implants: Joshua T. Smith, DDS","3824 Hoover Rd, Grove City, OH 43123, USA",4.7,350,https://www.oralsurgerycolumbus.com/,https://maps.google.com/?cid=7033082287154639834&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Fulks Family Dental,"2607 E Main St, Columbus, OH 43209, USA",4.7,1763,https://fulksfamilydental.com/,https://maps.google.com/?cid=11785200370204283660&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Norton Family Dental,"17 Norton Rd, Columbus, OH 43228, USA",4.7,1264,https://www.nortonfamilydentalcare.com/,https://maps.google.com/?cid=14344323141733882568&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Smith's | Restaurant & Deli,"3737 N High St, Columbus, OH 43214, USA",4.7,723,http://smithsdeli.com/,https://maps.google.com/?cid=10587528776124175271&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Smith Family Dentistry WV,"1501 7th Ave, Charleston, WV 25387, USA",4.8,120,https://www.smithfamilydentistrywv.com/,https://maps.google.com/?cid=2661742654634646856&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
Smith Family Dental,"3230 E Baseline Rd, Phoenix, AZ 85042, USA",4.9,514,http://www.smithfamilydental.org/,https://maps.google.com/?cid=5051613736907638073&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,2.0
Reynoldsburg Family Dental,"7589 E Main St # B, Reynoldsburg, OH 43068, USA",4.9,282,http://www.reynoldsburgfamilydental.com/,https://maps.google.com/?cid=8804181396985401456&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,2.0
Shiflett Family Dental,"3805 N High St #207, Columbus, OH 43214, USA",5,301,https://www.shiflettfamilydental.com/,https://maps.google.com/?cid=14705753327511601987&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,0.0
