name,address,rating,review_count,website,maps_url,status,lead_score
OB Auto Repair And Roadside,"117 Herman St, Indianapolis, IN 46202, USA",4.8,33,,https://maps.google.com/?cid=11470476920178204638&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,37.5
Khalid’s Auto Care,"WV97+Q2W, E 91st St, Indianapolis, IN 46240, USA",5,25,http://khalidsautocare.com/,https://maps.google.com/?cid=6310953537576991308&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,37.5
Apex Auto Repair LLC,"4931 Norwaldo Ave, Indianapolis, IN 46205, USA",5,42,http://apexautorepair.llc/,https://maps.google.com/?cid=10490830226862843305&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,29.0
Greg's Auto Repair,"634 Main St, Nashville, TN 37206, USA",4.8,55,https://www.facebook.com/gregsauto634/,https://maps.google.com/?cid=15495168313205133539&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,26.5
Auto Repair Center,"2408 Nolensville Pk, Nashville, TN 37211, USA",4.6,70,http://www.autorepaircenternashville.com/,https://maps.google.com/?cid=17136702233214177659&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,23.0
Prestige Auto Repair,"919 E Trinity Ln, Nashville, TN 37207, USA",4.9,61,https://prestigeautorepairs.com/,https://maps.google.com/?cid=10369270255651986512&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,21.5
Best Auto Repair,"4719 Nolensville Pk, Nashville, TN 37211, USA",4.9,64,,https://maps.google.com/?cid=5698731911475674068&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,20.0
Firestone Complete Auto Care,"401 E Broadway, Louisville, KY 40202, USA",4,647,https://www.firestonecompleteautocare.com/kentucky/louisville/401-e-broadway/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,https://maps.google.com/?cid=8423313519300470256&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,20.0
Same Day Dental,"7225 US-31 g, Indianapolis, IN 46227, USA",4.1,3136,https://samedaydental.com/,https://maps.google.com/?cid=14920138448120602922&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,18.0
Dentists at Hyde Park Plaza,"3802 Paxton Ave Ste 12A, Cincinnati, OH 45209, USA",4.2,556,https://www.dentistsathydeparkplaza.com/?sc_cid=GBP%3AO%3AGP%3A770%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTI2OTY2NjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://maps.google.com/?cid=7635877298829807899&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,16.0
All Out Automotive & Transmission,"2701 Cruzen St, Nashville, TN 37211, USA",4.8,78,,https://maps.google.com/?cid=5585655602335856766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,15.0
Same Day Dental,"8060 Shadeland Ave Ste B, Indianapolis, IN 46250, USA",4.3,1599,https://samedaydental.com/dentist/in/indianapolis/8060-n-shadeland-ave-ste-b?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://maps.google.com/?cid=16376755660760554377&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,14.0
Firestone Complete Auto Care,"425 N Delaware St, Indianapolis, IN 46204, USA",4.3,561,https://www.firestonecompleteautocare.com/indiana/indianapolis/425-n-delaware-st/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,https://maps.google.com/?cid=11329928145001974665&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,14.0
"Aspen Dental - Cincinnati, OH - Western Hills","6218 Glenway Ave, Cincinnati, OH 45211, USA",4.3,1353,"https://www.aspendental.com/dentist/oh/cincinnati/6218-glenway-avenue?utm_source=googleplaces&utm_medium=lociqgoogleplaces&utm_campaign=Cincinnati,OH-Cincinnati_OH-1466&utm_content=listing",https://maps.google.com/?cid=17960440935932171735&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,14.0
Dentist in Louisville,"6826 Bardstown Rd, Louisville, KY 40291, USA",4.4,496,https://dentistinlouisville.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=gmb,https://maps.google.com/?cid=10848772599503065680&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,12.0
All Star Tire & Auto Service,"534 N Capitol Ave, Indianapolis, IN 46204, USA",4.4,378,https://astires.com/,https://maps.google.com/?cid=3935018598269669601&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,12.0
Meineke Car Care Center,"11514 Shelbyville Rd, Louisville, KY 40243, USA",4.4,1149,https://www.meineke.com/locations/ky/louisville-2431/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website,https://maps.google.com/?cid=14859277838832429756&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,12.0
Meridian Dental Center,"2291 N Meridian St, Indianapolis, IN 46208, USA",4.5,905,http://www.meridiandentistry.com/,https://maps.google.com/?cid=5050317673004879576&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,10.0
West Side Auto Care,"7501 W 10th St, Indianapolis, IN 46214, USA",4.5,165,,https://maps.google.com/?cid=16560131631618485906&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,10.0
